ID_Cliente,Idade,Anos_Experiencia,Renda_Anual_Mil,CEP,Tamanho_Familia,Gasto_Medio_Cartao,Escolaridade,Valor_Hipoteca,Aceitou_Emprestimo,Conta_Investimento,Conta_CD,Usa_Internet_Banking,Tem_Cartao_Credito_Banco,Segmento_Renda,Perfil_Gasto,Propensao_Emprestimo
19,46,21,193,91604,2,8.1,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
20,55,28,21,94720,1,0.5,2,0,0,1,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
21,56,31,25,94015,4,0.9,2,111,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
22,57,27,63,90095,3,2.0,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
24,44,18,43,91320,2,0.7,1,163,0,1,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
25,36,11,152,95521,2,3.9,1,159,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
26,43,19,29,94305,3,0.5,1,97,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
27,40,16,83,95064,4,0.2,3,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
28,46,20,158,90064,1,2.4,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
29,56,30,48,94539,1,2.2,3,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
30,38,13,119,94104,1,3.3,2,0,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
31,59,35,35,93106,1,1.2,3,122,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
32,40,16,29,94117,1,2.0,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
33,53,28,41,94801,2,0.6,3,193,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
34,30,6,18,91330,3,0.9,3,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
35,31,5,50,94035,4,1.8,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
36,48,24,81,92647,3,0.7,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
37,59,35,121,94720,1,2.9,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
38,51,25,71,95814,1,1.4,3,198,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
39,42,18,141,94114,3,5.0,3,0,1,1,1,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
40,38,13,80,94115,4,0.7,3,285,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
41,57,32,84,92672,3,1.6,3,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
42,34,9,60,94122,3,2.3,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
44,39,15,45,95616,1,0.7,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
46,57,31,52,94720,4,2.5,1,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
47,39,14,43,95014,3,0.7,2,153,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
48,37,12,194,91380,4,0.2,3,211,1,1,1,1,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
49,56,26,81,95747,2,4.5,3,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
50,40,16,49,92373,1,1.8,1,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
51,32,8,8,92093,4,0.7,2,0,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
52,61,37,131,94720,1,2.9,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
53,30,6,72,94005,1,0.1,1,207,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
54,50,26,190,90245,3,2.1,3,240,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
55,29,5,44,95819,1,0.2,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
56,41,17,139,94022,2,8.0,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
58,56,31,131,95616,2,1.2,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
59,28,2,93,94065,2,0.2,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
60,31,5,188,91320,2,4.5,1,455,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
61,49,24,39,90404,3,1.7,2,0,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
62,47,21,125,93407,1,5.7,1,112,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
63,42,18,22,90089,1,1.0,1,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
64,42,17,32,94523,4,0.0,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
66,59,35,131,91360,1,3.8,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
67,62,36,105,95670,2,2.8,1,336,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
68,53,23,45,95123,4,2.0,3,132,0,1,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
69,47,21,60,93407,3,2.1,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
70,53,29,20,90045,4,0.2,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
71,42,18,115,91335,1,3.5,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
72,53,29,69,93907,4,1.0,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
73,44,20,130,92007,1,5.0,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
74,41,16,85,94606,1,4.0,3,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
75,28,3,135,94611,2,3.3,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
76,31,7,135,94901,4,3.8,2,0,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
77,58,32,12,91320,3,0.3,3,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
78,46,20,29,92220,3,0.5,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
79,54,30,133,93305,2,2.6,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
80,50,26,19,94720,2,0.4,1,118,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
81,60,36,41,95134,4,1.3,1,174,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
82,47,22,40,94612,3,2.7,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Alto,Média Propensão
83,41,16,82,92507,1,4.0,3,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
84,33,9,50,94305,1,2.4,2,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
85,46,22,18,91730,1,0.9,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
86,27,2,109,94005,4,1.8,3,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
87,40,16,42,94501,4,2.2,2,126,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
88,48,22,78,94305,3,1.1,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
89,65,41,51,94117,2,1.1,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
90,25,-1,113,94303,4,2.3,3,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
91,55,30,118,90277,4,5.6,2,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
92,35,10,29,94105,4,1.1,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
93,43,19,34,94305,3,0.6,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
94,60,34,64,94550,2,1.7,3,236,0,1,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
95,65,39,121,92612,1,2.0,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
96,38,12,48,95617,4,0.2,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
97,41,15,80,95014,1,5.2,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
98,54,28,161,92121,1,2.9,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
99,49,23,94,92374,1,0.3,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
100,66,41,15,91711,3,0.1,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
101,48,23,74,94080,1,1.2,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
102,61,36,30,94608,3,1.3,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
103,53,23,44,93555,3,1.0,3,198,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
104,43,18,22,95670,2,0.3,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
105,56,32,38,93311,4,1.3,1,166,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
106,24,0,35,94704,3,0.1,2,0,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
107,43,17,69,92717,4,2.9,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Alto,Média Propensão
108,42,18,43,92037,1,0.7,1,136,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
109,33,7,32,95136,1,0.6,3,166,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
110,43,17,49,94542,1,2.8,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
111,41,14,9,91330,3,1.0,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
112,62,38,45,94143,4,1.3,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
113,40,15,82,91775,3,1.0,1,309,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
114,58,34,92,92703,2,2.8,1,103,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
115,39,14,39,92354,3,0.5,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
116,65,40,81,92024,3,1.8,2,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
117,54,29,35,92831,1,1.5,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
118,58,33,61,92833,2,2.3,3,193,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
119,41,16,73,92647,3,3.0,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
120,32,7,112,94304,1,4.6,1,366,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
121,54,29,12,90057,2,0.2,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
122,52,26,38,91711,3,0.9,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
123,58,32,73,94523,2,0.7,2,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
124,37,13,84,92130,1,3.6,2,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
125,39,15,78,92121,4,2.4,1,118,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
126,60,35,80,91301,3,0.5,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
127,31,5,115,92096,2,1.3,1,101,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
128,34,8,82,92646,1,2.7,2,251,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
129,38,14,74,92182,2,0.0,1,0,0,1,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
130,41,16,70,92131,3,0.5,3,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
131,28,4,81,94801,3,1.5,1,276,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
132,58,34,149,93720,4,7.2,2,0,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
133,31,1,51,90840,2,1.75,3,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
134,30,4,39,90245,3,1.1,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
135,53,29,98,95035,3,1.8,2,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
136,58,33,45,93010,4,2.1,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
137,59,32,49,95035,4,2.5,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
138,49,25,128,95054,2,0.4,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
139,59,34,42,94928,3,1.5,1,0,0,1,1,0,1,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
140,59,35,18,93305,1,1.2,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
141,51,25,31,90245,2,0.4,3,161,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
142,35,11,58,95831,3,2.0,1,149,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
143,33,9,48,91770,1,2.1,3,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
144,25,1,54,94117,4,1.6,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
145,49,23,70,92093,2,1.5,2,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
146,59,35,124,90007,1,7.4,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
147,46,19,84,94102,1,2.67,2,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
148,50,25,83,94542,4,3.6,3,188,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
149,52,28,163,91423,2,0.4,1,116,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
150,48,22,42,93955,3,2.2,2,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
151,46,22,118,94107,2,7.5,1,0,0,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
152,26,0,132,92834,3,6.5,3,0,1,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
153,57,32,24,93117,1,1.3,1,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
154,60,36,22,94551,2,1.0,1,0,0,1,1,1,1,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
155,54,29,58,92612,4,1.3,3,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
156,24,0,60,94596,4,1.6,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
157,26,0,15,92131,4,0.4,1,0,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
158,41,17,83,94025,4,2.67,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
159,32,6,79,94720,2,1.5,3,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
160,61,35,41,94545,4,1.7,2,0,0,1,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
161,29,0,134,95819,4,6.5,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
162,61,35,80,95053,2,2.8,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
163,38,12,52,90036,1,2.0,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
164,28,4,70,91125,4,2.6,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
165,53,27,92,95120,2,1.1,1,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
166,27,1,43,94706,1,1.5,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
167,25,1,21,95827,3,1.0,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
168,33,9,23,94305,3,0.9,3,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
169,50,26,13,91320,4,1.0,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
170,27,1,112,90503,4,2.1,3,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
171,27,1,138,90250,2,2.0,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
172,52,28,11,95817,3,0.4,1,0,0,1,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
173,38,13,171,92717,2,7.8,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
174,58,34,42,90095,4,1.5,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
175,42,17,168,95503,2,7.9,2,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
176,45,20,85,91711,4,1.1,2,0,0,1,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
177,52,25,44,93111,3,1.0,2,135,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
178,29,3,65,94132,4,1.8,2,244,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
179,53,29,24,95818,4,0.2,1,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
180,62,37,11,91942,1,0.1,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
181,51,27,38,90401,2,1.0,3,164,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
182,36,12,10,93524,4,0.7,2,81,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
183,24,0,135,95133,1,1.5,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
184,29,3,148,92173,3,4.1,1,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
185,52,26,63,92717,2,1.5,2,0,0,1,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
186,39,14,115,91320,1,1.0,3,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
187,48,23,45,95616,1,0.3,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
188,46,21,159,94305,3,1.9,3,315,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
189,64,40,169,91320,2,2.1,1,122,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
190,55,29,112,94043,2,1.4,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
191,60,36,93,92521,1,4.3,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
192,51,25,29,90404,1,0.3,3,140,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
193,50,23,85,92122,1,2.67,2,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
194,48,24,21,93118,4,0.6,1,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
195,53,29,144,92697,2,6.8,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
196,34,10,13,94577,4,1.0,1,95,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
197,48,24,165,93407,1,5.0,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
198,55,31,9,91345,4,0.7,1,89,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
199,27,3,59,94123,4,0.0,1,90,0,1,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
200,36,11,158,92152,1,5.1,3,0,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
201,32,6,29,91355,1,1.9,3,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
202,35,9,20,94609,2,1.4,3,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
203,30,3,68,94306,4,2.0,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
204,58,34,65,95747,4,2.2,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
205,56,31,61,96150,2,1.9,2,105,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
206,38,12,91,95616,4,1.4,2,100,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
207,49,25,31,91355,1,1.0,1,0,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
208,34,10,71,94115,4,0.1,2,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
209,40,16,73,94110,4,2.67,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Alto,Média Propensão
210,64,39,172,94707,4,3.1,1,282,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
211,51,26,20,92131,2,0.0,1,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
212,44,18,55,94720,1,0.2,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
213,46,22,69,91604,2,1.7,1,209,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
214,57,33,155,91326,1,7.4,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
215,54,28,94,90291,1,1.9,2,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
216,38,14,92,95818,2,0.0,1,249,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
217,27,3,125,95521,2,0.6,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
218,39,14,74,94305,3,3.0,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
219,44,20,72,92807,3,0.3,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
220,56,30,61,94707,1,2.2,3,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
221,32,6,25,92130,2,0.3,1,0,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
222,45,19,83,95051,2,1.7,2,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
223,26,2,104,94306,3,2.5,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
